//id tytuł data godzina cena czas_trwania numer_sali
0 Kosmici_w_mojej_szkole 12.11.2023 10:00 30 1:25 4
1 Matrix 13.11.2023 10:00 100 1:30 3
2 Pamięć_absolutna 14.11.2023 15:30 50 1:45 2
3 Gwiezdne_wojny 15.11.2023 13:00 80 2:15 1
4 Skazani_na_shawshank 16.11.2023 14:45 60 2:20 3
5 Incepcja 17.11.2023 12:30 70 2:10 3
6 Avengers 18.11.2023 11:15 90 2:30 4
7 Pulp_Fiction 19.11.2023 19:00 40 2:15 1
8 Gladiator 20.11.2023 16:45 55 2:05 2
9 Shrek 21.11.2023 14:30 45 1:40 3
10 Siedem 24.11.2023 21:00 55 2:20 1
11 Terminator 25.11.2023 20:30 70 2:15 2
12 Pianista 26.11.2023 13:45 40 2:10 3
14 Forrest_Gump 28.11.2023 15:15 60 2:20 3
15 Milczenie_owiec 29.11.2023 14:00 45 2:05 3
16 Człowiek_z_marmuru 30.11.2023 11:10 35 2:00 2
17 AAA 10.12.2023 10:10 45 2:30 2
18 Król_Lew 11.12.2023 15:00 60 2:10 2
19 Shrek_2 12.12.2023 13:45 50 2:05 1
20 Gladiator 13.12.2023 12:30 50 2:05 3
21 Szklana_pułapka 14.12.2023 11:30 45 2:00 3
22 Titanic 15.12.2023 16:15 55 2:15 2
23 Mad_Max 16.12.2023 13:15 60 2:10 1
24 Avatar 17.12.2023 14:30 65 2:15 2
25 Obcy 18.12.2023 14:00 65 2:20 2
26 Szeregowiec_Ryan 19.12.2023 15:30 65 2:20 2
27 Wyspa_tajemnic 20.12.2023 22:15 145 1:30 1
28 Kevin_sam_w_domu 21.12.2023 19:00 60 1:45 1
29 Grinch:_Świąt_nie_będzie 22.12.2023 14:00 45 1:40 2
30 To_właśnie_miłość 23.12.2023 11:30 35 2:10 4
