//id tytuł data godzina cena czas_trwania numer_sali
0 Kosmici_w_mojej_szkole 12.10.2023 10:00 30 1:25 4
1 Matrix 13.10.2023 10:00 100 1:30 3
2 Pamięć_absolutna 14.10.2023 15:30 50 1:45 2
3 Gwiezdne_wojny 15.10.2023 13:00 80 2:15 1
4 Skazani_na_shawshank 16.10.2023 14:45 60 2:20 3
5 Incepcja 17.10.2023 12:30 70 2:10 3
6 Avengers 18.10.2023 11:15 90 2:30 4
7 Pulp_Fiction 19.10.2023 19:00 40 2:15 1
8 Gladiator 20.10.2023 16:45 55 2:05 2
9 Shrek 21.10.2023 14:30 45 1:40 3
10 Siedem 24.10.2023 21:00 55 2:20 1
11 Terminator 25.10.2023 20:30 70 2:15 2
12 Pianista 26.10.2023 13:45 40 2:10 3
14 Forrest_Gump 28.10.2023 15:15 60 2:20 3
15 Milczenie_owiec 29.10.2023 14:00 45 2:05 3
16 Człowiek_z_marmuru 31.10.2023 11:10 35 2:00 2
17 AAA 11.11.2023 10:10 45 2:30 2
